column_name,dtype_pandas
codigo,object
link,object
codigoexterno,object
nombre,object
descripcion,object
tipo_de_adquisicion,object
codigoestado,object
estado,object
codigoorganismo,object
nombreorganismo,object
sector,object
rutunidad,object
codigounidad,object
nombreunidad,object
direccionunidad,object
comunaunidad,object
regionunidad,object
informada,object
codigotipo,object
tipo,object
tipoconvocatoria,object
codigomoneda,object
moneda_adquisicion,object
etapas,object
estadoetapas,object
tomarazon,object
estadopublicidadofertas,object
justificacionpublicidad,object
estadocs,object
contrato,object
obras,object
cantidadreclamos,object
fechacreacion,object
fechacierre,object
fechainicio,object
fechafinal,object
fechapubrespuestas,object
fechaactoaperturatecnica,object
fechaactoaperturaeconomica,object
fechapublicacion,object
fechaadjudicacion,object
fechaestimadaadjudicacion,object
fechasoportefisico,object
fechatiempoevaluacion,object
unidadtiempoevaluacion,object
fechaestimadafirma,object
fechasusuario,object
fechavisitaterreno,object
direccionvisita,object
fechaentregaantecedentes,object
direccionentrega,object
estimacion,object
fuentefinanciamiento,object
visibilidadmonto,object
montoestimado,object
tiempo,object
unidadtiempo,object
modalidad,object
tipopago,object
prohibicioncontratacion,object
subcontratacion,object
unidadtiempoduracioncontrato,object
tiempoduracioncontrato,object
tipoduracioncontrato,object
justificacionmontoestimado,object
observacioncontrato,object
extensionplazo,object
esbasetipo,object
unidadtiempocontratolicitacion,object
valortiemporenovacion,object
periodotiemporenovacion,object
esrenovable,object
tipoaprobacion,object
numeroaprobacion,object
fechaaprobacion,object
numerooferentes,object
correlativo,object
codigoestadolicitacion,object
codigoitem,object
codigoproductoonu,object
rubro1,object
rubro2,object
rubro3,object
nombre_producto_genrico,object
nombre_linea_adquisicion,object
descripcion_linea_adquisicion,object
unidadmedida,object
cantidad,object
codigoproveedor,object
codigosucursalproveedor,object
rutproveedor,object
nombreproveedor,object
razonsocialproveedor,object
descripcionproveedor,object
monto_estimado_adjudicado,object
nombre_de_la_oferta,object
estado_oferta,object
cantidad_ofertada,object
moneda_de_la_oferta,object
montounitariooferta,object
valor_total_ofertado,object
cantidadadjudicada,object
montolineaadjudica,object
fechaenviooferta,object
oferta_seleccionada,object
