column_name,dtype_pandas
id,object
codigo,object
link,object
nombre,object
descripcion_obervaciones,object
tipo,object
procedenciaoc,object
estratodirecto,object
escompraagil,object
codigotipo,object
codigoabreviadotipooc,object
descripciontipooc,object
codigoestado,object
estado,object
codigoestadoproveedor,object
estadoproveedor,object
fechacreacion,object
fechaenvio,object
fechasolicitudcancelacion,object
fechaultimamodificacion,object
fechaaceptacion,object
fechacancelacion,object
tieneitems,object
promediocalificacion,object
cantidadevaluacion,object
montototaloc,object
tipomonedaoc,object
montototaloc_pesoschilenos,object
impuestos,object
tipoimpuesto,object
descuentos,object
cargos,object
totalnetooc,object
codigounidadcompra,object
rutunidadcompra,object
unidadcompra,object
codigoorganismopublico,object
organismopublico,object
sector,object
actividadcomprador,object
ciudadunidadcompra,object
regionunidadcompra,object
paisunidadcompra,object
codigosucursal,object
rutsucursal,object
sucursal,object
codigoproveedor,object
nombreproveedor,object
actividadproveedor,object
comunaproveedor,object
regionproveedor,object
paisproveedor,object
financiamiento,object
porcentajeiva,object
pais,object
tipodespacho,object
formapago,object
codigolicitacion,object
codigo_conveniomarco,object
iditem,object
codigocategoria,object
categoria,object
codigoproductoonu,object
nombreroductogenerico,object
rubron1,object
rubron2,object
rubron3,object
especificacioncomprador,object
especificacionproveedor,object
cantidad,object
unidadmedida,object
monedaitem,object
precioneto,object
totalcargos,object
totaldescuentos,object
totalimpuestos,object
totallineaneto,object
forma_de_pago,object
