entidad,periodo,estado,archivo,filas_stg,filas_dw,ts_inicio,ts_fin,error_msg
LIC,2024-09,OK,LIC_2024-09.csv,178091,147755,2026-01-16 13:41:27.271544+00:00,2026-01-16 13:41:27.271544+00:00,
OC,2024-09,OK,OC_2024-09.csv,396516,324419,2026-01-16 13:41:27.271544+00:00,2026-01-16 13:41:27.271544+00:00,
LIC,2024-10,OK,LIC_2024-10.csv,219827,199155,2026-01-16 15:10:54.958475+00:00,2026-01-16 15:22:52.459721+00:00,
OC,2024-10,OK,OC_2024-10.csv,508095,477995,2026-01-16 15:10:54.958475+00:00,2026-01-16 17:07:11.156930+00:00,
LIC,2024-11,OK,LIC_2024-11.csv,530356,475782,2026-01-17 01:55:24.006315+00:00,2026-01-17 15:37:51.834740+00:00,
OC,2024-11,OK,OC_2024-11.csv,470710,429335,2026-01-17 01:55:24.012577+00:00,2026-01-17 15:37:51.841797+00:00,
LIC,2024-12,OK,LIC_2024-12.csv,359662,312983,2026-01-17 17:20:17.988311+00:00,2026-01-17 17:20:17.988311+00:00,
OC,2024-12,OK,OC_2024-12.csv,411596,373131,2026-01-17 17:20:17.995190+00:00,2026-01-17 17:20:17.995190+00:00,
LIC,2025-02,OK,LIC_2025-02.csv,598982,452154,2026-01-20 16:47:32.482900+00:00,2026-01-20 16:47:32.482900+00:00,
OC,2025-02,OK,OC_2025-02.csv,354933,316147,2026-01-20 16:47:32.491460+00:00,2026-01-20 16:47:32.491460+00:00,
LIC,2025-04,OK,LIC_2025-04.csv,556771,494536,2026-01-20 21:26:25.747855+00:00,2026-01-20 21:26:25.747855+00:00,
OC,2025-04,OK,OC_2025-04.csv,467832,405677,2026-01-20 21:26:25.755450+00:00,2026-01-20 21:26:25.755450+00:00,
LIC,2025-05,OK,LIC_2025-05.csv,538324,470000,2026-01-20 21:35:23.337753+00:00,2026-01-20 21:35:23.337753+00:00,
OC,2025-05,OK,OC_2025-05.csv,438074,376060,2026-01-20 21:35:23.344844+00:00,2026-01-20 21:35:23.344844+00:00,
LIC,2025-06,OK,LIC_2025-06.csv,472003,407938,2026-01-20 21:40:27.847353+00:00,2026-01-20 21:40:27.847353+00:00,
OC,2025-06,OK,OC_2025-06.csv,436932,372131,2026-01-20 21:40:27.854222+00:00,2026-01-20 21:40:27.854222+00:00,
LIC,2025-07,OK,LIC_2025-07.csv,432435,372640,2026-01-20 21:45:46.228910+00:00,2026-01-20 21:45:46.228910+00:00,
OC,2025-07,OK,OC_2025-07.csv,454386,382670,2026-01-20 21:45:46.236532+00:00,2026-01-20 21:45:46.236532+00:00,
LIC,2025-08,OK,LIC_2025-08.csv,418350,358505,2026-01-20 21:50:48.480118+00:00,2026-01-20 21:50:48.480118+00:00,
OC,2025-08,OK,OC_2025-08.csv,443201,371035,2026-01-20 21:50:48.487150+00:00,2026-01-20 21:50:48.487150+00:00,
LIC,2025-09,OK,LIC_2025-09.csv,312383,265167,2026-01-20 21:55:44.353407+00:00,2026-01-20 21:55:44.353407+00:00,
OC,2025-09,OK,OC_2025-09.csv,408749,340311,2026-01-20 21:55:44.360788+00:00,2026-01-20 21:55:44.360788+00:00,
LIC,2025-10,OK,LIC_2025-10.csv,237352,190988,2026-01-20 21:59:50.164489+00:00,2026-01-20 21:59:50.164489+00:00,
OC,2025-10,OK,OC_2025-10.csv,470339,387901,2026-01-20 21:59:50.171780+00:00,2026-01-20 21:59:50.171780+00:00,
