periodo,dominio,stg_table,n_registros,status
2024-09,LIC,public.stg_lic_2024_09,178091,OK
2024-09,OC,public.stg_oc_2024_09,396516,OK
2024-10,LIC,public.stg_lic_2024_10,219827,OK
2024-10,OC,public.stg_oc_2024_10,508095,OK
2024-11,LIC,public.stg_lic_2024_11,530356,OK
2024-11,OC,public.stg_oc_2024_11,470710,OK
2024-12,LIC,public.stg_lic_2024_12,359662,OK
2024-12,OC,public.stg_oc_2024_12,411596,OK
2025-01,LIC,public.stg_lic_2025_01,2,OK
2025-01,OC,public.stg_oc_2025_01,360815,OK
2025-02,LIC,public.stg_lic_2025_02,598982,OK
2025-02,OC,public.stg_oc_2025_02,354933,OK
2025-03,LIC,public.stg_lic_2025_03,554409,OK
2025-03,OC,public.stg_oc_2025_03,2,OK
2025-04,LIC,public.stg_lic_2025_04,556771,OK
2025-04,OC,public.stg_oc_2025_04,467832,OK
2025-05,LIC,public.stg_lic_2025_05,538324,OK
2025-05,OC,public.stg_oc_2025_05,438074,OK
2025-06,LIC,public.stg_lic_2025_06,472003,OK
2025-06,OC,public.stg_oc_2025_06,436932,OK
2025-07,LIC,public.stg_lic_2025_07,432435,OK
2025-07,OC,public.stg_oc_2025_07,454386,OK
2025-08,LIC,public.stg_lic_2025_08,418350,OK
2025-08,OC,public.stg_oc_2025_08,443201,OK
2025-09,LIC,public.stg_lic_2025_09,312383,OK
2025-09,OC,public.stg_oc_2025_09,408749,OK
2025-10,LIC,public.stg_lic_2025_10,237352,OK
2025-10,OC,public.stg_oc_2025_10,470339,OK
