table_schema,table_name
public,stg_lic_2024_09
public,stg_lic_2024_10
public,stg_lic_2024_11
public,stg_lic_2024_12
public,stg_lic_2025_01
public,stg_lic_2025_02
public,stg_lic_2025_03
public,stg_lic_2025_04
public,stg_lic_2025_05
public,stg_lic_2025_06
public,stg_lic_2025_07
public,stg_lic_2025_08
public,stg_lic_2025_09
public,stg_lic_2025_10
public,stg_oc_2024_09
public,stg_oc_2024_10
public,stg_oc_2024_11
public,stg_oc_2024_12
public,stg_oc_2025_01
public,stg_oc_2025_02
public,stg_oc_2025_03
public,stg_oc_2025_04
public,stg_oc_2025_05
public,stg_oc_2025_06
public,stg_oc_2025_07
public,stg_oc_2025_08
public,stg_oc_2025_09
public,stg_oc_2025_10
