code,org_name,lic_name,oc_name
100049,I MUNICIPALIDAD DE AYSEN,,100049
100072,I MUNICIPALIDAD DE PIRQUE,,
100090,I MUNICIPALIDAD DE BUIN,,100090
100107,ILUSTRE MUNICIPALIDAD DE SAN CARLOS,,100107
100127,I MUNICIPALIDAD DE CASTRO,,
100137,MUNICIPALIDAD DE PEÑAFLOR,,
100155,I MUNICIPALIDAD LO BARNECHEA,I MUNICIPALIDAD LO BARNECHEA,100155
100156,I MUNICIPALIDAD DE ANGOL,,
100158,I MUNICIPALIDAD DE SAN FELIPE,,100158
100318,I MUNICIPALIDAD DE SAN ANTONIO,,100318
100448,I MUNICIPALIDAD DE CORONEL,I MUNICIPALIDAD DE CORONEL,100448
100488,I MUNICIPALIDAD DE LA CISTERNA,I MUNICIPALIDAD DE LA CISTERNA,
100523,I MUNICIPALIDAD DE CHIGUAYANTE,I MUNICIPALIDAD DE CHIGUAYANTE,
100555,I MUNICIPALIDAD DE RENGO,I MUNICIPALIDAD DE RENGO,
100648,I MUNICIPALIDAD DE LA LIGUA,,
100704,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,,
100728,I MUNICIPALIDAD DE PAINE,,
100739,MUNICIPALIDAD DE HUECHURABA,Municipalidad de Huechuraba,
101002,MUNICIPALIDAD DE LOS ANDES,MUNICIPALIDAD DE LOS ANDES,
102316,I MUNICIPALIDAD DE CONSTITUCION,,
102868,I MUNICIPALIDAD DE PUERTO VARAS,,
1033466,CORPORACION MUNICIPAL DE EDUCACION Y SALUD DE SAN BERNARDO,,
1034640,CORPORACION MUNICIPAL DE PENALOLEN PARA EL DESARROLO SOCIAL CORMUP,,
1035946,CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,
103916,UNIVERSIDAD DE ATACAMA,,
1042394,INSTITUTO NACIONAL DE PROPIEDAD INDUSTRIAL,,
104899,I MUNICIPALIDAD PUERTO OCTAY,,
105334,I MUNICIPALIDAD DE PUYEHUE,,
1053458,I MUNICIPALIDAD DE COLCHANE,,
106000,ILUSTRE MUNICIPALIDAD DE TORRES DEL PAIN,,
1060064,CONSEJO PARA LA TRANSPARENCIA,,
106170,I MUNICIPALIDAD DE HUALAIHUE,,
106876,I MUNICIPALIDAD DE LANCO,I MUNICIPALIDAD DE LANCO,
106880,I MUNICIPALIDAD DE FUTRONO,,
1076658,HOSPITAL METROPOLITANO DE SANTIAGO,,1076658
1079772,JUNTA NACIONAL DE CUERPOS DE BOMBEROS DE CHILE,,
1083414,UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS,,
1085182,"CORPORACIÓN DE ECUACIÓN, SALUD Y MENORES DE PUERTO NATALES",,
1088974,CORP MUNICIPAL DE CASTRO PARA LA EDUCACION SALUD Y ATENCION AL MENOR,,
108932,I MUNICIPALIDAD DE JUAN FERNANDEZ,,
1090469,INSTITUTO DE PREVISION SOCIAL,INSTITUTO DE PREVISION SOCIAL,1090469
109196,I MUNICIPALIDAD DE CHANARAL,,
110102,ILUSTRE MUNICIPALIDAD DE QUELLÓN,,
1101613,CORP DE DESARROLLO SOCIAL DE PROVIDENCIA,,1101613
110393,I MUNICIPALIDAD DE PALENA,,
1109551,CORP MUNICIPAL DE SERVICIOS PUBLICOS TRASPASADOS DE RANCAGUA,,
1110112,"CORPORACION MUNICIPAL DE EDUCACION,SALUD,CULTURA Y ATENCION AL MENOR,","CORPORACION MUNICIPAL DE EDUCACION,SALUD,CULTURA Y ATENCION AL MENOR,",
1110944,FUND PARA LA PROMOCION Y DESARROLLO DE LA MUJER,,
111119,DELEGACIÓN PRESIDENCIAL PROVINCIAL DE SAN ANTONIO,,
