dataset,file,ok,reasons
LIC,LIC_2024-09.csv,True,
LIC,LIC_2024-10.csv,True,
LIC,LIC_2024-11.csv,True,
LIC,LIC_2024-12.csv,True,
LIC,LIC_2025-01.csv,True,
LIC,LIC_2025-02.csv,True,
LIC,LIC_2025-03.csv,True,
LIC,LIC_2025-04.csv,True,
LIC,LIC_2025-05.csv,True,
LIC,LIC_2025-06.csv,True,
LIC,LIC_2025-07.csv,True,
LIC,LIC_2025-08.csv,True,
LIC,LIC_2025-09.csv,True,
LIC,LIC_2025-10.csv,True,
OC,OC_2024-09.csv,True,
OC,OC_2024-10.csv,True,
OC,OC_2024-11.csv,True,
OC,OC_2024-12.csv,True,
OC,OC_2025-01.csv,True,
OC,OC_2025-02.csv,True,
OC,OC_2025-03.csv,True,
OC,OC_2025-04.csv,True,
OC,OC_2025-05.csv,True,
OC,OC_2025-06.csv,True,
OC,OC_2025-07.csv,True,
OC,OC_2025-08.csv,True,
OC,OC_2025-09.csv,True,
OC,OC_2025-10.csv,True,
ORG,2025-10-17_Listado.csv,True,
