dataset,file,path,bytes,mtime,sep_guess
LIC,LIC_2024-09.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2024-09.csv,306786738,2025-03-28T09:55:04,;
LIC,LIC_2024-10.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2024-10.csv,379446203,2025-11-23T02:57:59,;
LIC,LIC_2024-11.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2024-11.csv,863083512,2025-07-25T13:39:20,;
LIC,LIC_2024-12.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2024-12.csv,573143214,2025-06-24T09:53:58,;
LIC,LIC_2025-01.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-01.csv,155,2025-11-13T14:42:32,","
LIC,LIC_2025-02.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-02.csv,1045864755,2025-11-13T14:59:53,;
LIC,LIC_2025-03.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-03.csv,919858202,2025-11-13T14:59:54,;
LIC,LIC_2025-04.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-04.csv,945603881,2025-11-13T14:59:56,;
LIC,LIC_2025-05.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-05.csv,917834148,2025-11-13T14:59:57,;
LIC,LIC_2025-06.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-06.csv,797273409,2025-11-13T15:00:02,;
LIC,LIC_2025-07.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-07.csv,727983246,2025-11-13T15:00:07,;
LIC,LIC_2025-08.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-08.csv,712824403,2025-11-13T15:00:14,;
LIC,LIC_2025-09.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-09.csv,529422325,2025-11-13T15:00:18,;
LIC,LIC_2025-10.csv,/home/engineer/Documents/Proyectos/TFM_CSV_Biblioteca_Readme/01_LIC/LIC_2025-10.csv,399309538,2025-11-13T14:59:52,;
