 entidad | periodo | estado | filas_stg | filas_dw |            ts_fin             | error_msg 
---------+---------+--------+-----------+----------+-------------------------------+-----------
 LIC     | 2024-09 | OK     |    178091 |   147755 | 2026-01-16 10:41:27.271544-03 | 
 OC      | 2024-09 | OK     |    396516 |   324419 | 2026-01-16 10:41:27.271544-03 | 
 LIC     | 2024-10 | OK     |    219827 |   199155 | 2026-01-16 12:22:52.459721-03 | 
 OC      | 2024-10 | OK     |    508095 |   477995 | 2026-01-16 14:07:11.15693-03  | 
 LIC     | 2024-11 | OK     |    530356 |   475782 | 2026-01-17 12:37:51.83474-03  | 
 OC      | 2024-11 | OK     |    470710 |   429335 | 2026-01-17 12:37:51.841797-03 | 
 LIC     | 2024-12 | OK     |    359662 |   312983 | 2026-01-17 14:20:17.988311-03 | 
 OC      | 2024-12 | OK     |    411596 |   373131 | 2026-01-17 14:20:17.99519-03  | 
 LIC     | 2025-02 | OK     |    598982 |   452154 | 2026-01-20 13:47:32.4829-03   | 
 OC      | 2025-02 | OK     |    354933 |   316147 | 2026-01-20 13:47:32.49146-03  | 
 LIC     | 2025-04 | OK     |    556771 |   494536 | 2026-01-20 18:26:25.747855-03 | 
 OC      | 2025-04 | OK     |    467832 |   405677 | 2026-01-20 18:26:25.75545-03  | 
 LIC     | 2025-05 | OK     |    538324 |   470000 | 2026-01-20 18:35:23.337753-03 | 
 OC      | 2025-05 | OK     |    438074 |   376060 | 2026-01-20 18:35:23.344844-03 | 
 LIC     | 2025-06 | OK     |    472003 |   407938 | 2026-01-20 18:40:27.847353-03 | 
 OC      | 2025-06 | OK     |    436932 |   372131 | 2026-01-20 18:40:27.854222-03 | 
 LIC     | 2025-07 | OK     |    432435 |   372640 | 2026-01-20 18:45:46.22891-03  | 
 OC      | 2025-07 | OK     |    454386 |   382670 | 2026-01-20 18:45:46.236532-03 | 
 LIC     | 2025-08 | OK     |    418350 |   358505 | 2026-01-20 18:50:48.480118-03 | 
 OC      | 2025-08 | OK     |    443201 |   371035 | 2026-01-20 18:50:48.48715-03  | 
 LIC     | 2025-09 | OK     |    312383 |   265167 | 2026-01-20 18:55:44.353407-03 | 
 OC      | 2025-09 | OK     |    408749 |   340311 | 2026-01-20 18:55:44.360788-03 | 
 LIC     | 2025-10 | OK     |    237352 |   190988 | 2026-01-20 18:59:50.164489-03 | 
 OC      | 2025-10 | OK     |    470339 |   387901 | 2026-01-20 18:59:50.17178-03  | 
(24 rows)

