moneda_norm,nombre_organismo,total_monto,pct_sobre_moneda,rk
CLF,I MUNICIPALIDAD DE MAIPU,107044039149.0,0.9565929213813011,1
CLF,CORP NACIONAL FORESTAL,1356000268.0,0.012117818685395385,2
CLF,I MUNICIPALIDAD DE TEMUCO,1002571829.0,0.008959425694528865,3
CLF,I MUNICIPALIDAD DE OSORNO,590558801.0,0.005277494881426155,4
CLF,I MUNICIPALIDAD DE CASABLANCA,362903260.0,0.0032430641857505143,5
CLF,SERVICIO DE SALUD VINA DEL MAR QUILLOTA,270645270.0,0.002418605945231184,6
CLF,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,231699779.0,0.0020705717967956783,7
CLF,I MUNICIPALIDAD DE PENALOLEN,227870063.0,0.002036347759234826,8
CLF,SUBSECRETARIA DE TRANSPORTES,210028699.0,0.0018769094323007043,9
CLF,SUBSECRETARIA DE SALUD PUBLICA,117704951.0,0.0010518635491828295,10
CLP,I MUNICIPALIDAD DE MAIPU,78046440472825.0,0.16640567058027955,1
CLP,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,52566112862970.0,0.11207813204251005,2
CLP,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,24576641936107.0,0.05240075725699875,3
CLP,CORP MUNICIPAL DE DESARROLLO SOCIAL DE A,24399399200118.0,0.05202285153626312,4
CLP,I MUNICIPALIDAD DE CORONEL,15320904611309.0,0.03266626114267283,5
CLP,I MUNICIPALIDAD DE CONCEPCION,14769559492029.0,0.031490718046291666,6
CLP,HOSPITAL BASE OSORNO,13414679265850.0,0.02860192835610996,7
CLP,I MUNICIPALIDAD DE CHILLAN,9332022441055.0,0.01989714640111844,8
CLP,SERVICIO DE SALUD DE TALCAHUANO HOSPITAL,7179364247222.0,0.015307385124309916,9
CLP,I MUNICIPALIDAD DE EL QUISCO,6897716609786.0,0.014706873894189076,10
USD,CORP ADMINISTRATIVA DEL PODER JUDICIAL,7840428075.0,0.47983493929851856,1
USD,CORP NACIONAL FORESTAL,5025643957.0,0.3075698852123022,2
USD,SERVICIO ELECTORAL,818689722.0,0.05010388837221634,3
USD,SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,522588836.0,0.03198248616038015,4
USD,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,501229171.0,0.03067527264337946,5
USD,SUBSECRETARIA DE TRANSPORTES,421872535.0,0.025818639019073858,6
USD,DIRECCION GENERAL DE AERONAUTICA CIVIL,231088896.0,0.014142662278643716,7
USD,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,164679907.0,0.010078425874601327,8
USD,DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,119704821.0,0.0073259463601769,9
USD,SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO,117240861.0,0.007175151775273578,10
,HOSPITAL COMUNITARIO DE SALUD FAMILIAR DE BULNES,1486848000.0,0.9036245619594505,1
,I MUNICIPALIDAD DE ANDACOLLO,79831933.0,0.04851746478960943,2
,HOSPITAL PROVINCIAL   DEL HUASCO MSR FERNANDO ARIZTIA RUIZ,54939888.0,0.03338944682180107,3
,I MUNICIPALIDAD DE LAS CONDES,16712105.0,0.010156699649221267,4
,I MUNICIPALIDAD DE PROVIDENCIA,3604200.0,0.002190434830066188,5
,CORP NACIONAL FORESTAL,2500000.0,0.0015193627088301066,6
,I MUNICIPALIDAD DE SANTIAGO,687576.0,0.00041787093355462774,7
,I MUNICIPALIDAD DE CONCEPCION,208368.0,0.00012663462756540465,8
,I MUNICIPALIDAD DE VITACURA,45679.0,2.7761187670660175e-05,9
,HOSPITAL PADRE ALBERTO HURTADO,22866.0,1.3896699080043686e-05,10
