moneda_norm,nombre_organismo,total_monto,pct_sobre_moneda,rk
CLF,I MUNICIPALIDAD DE RIO BUENO,20806670.93,0.3630738845467209,1
CLF,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,7300124.5,0.12738628725406043,2
CLF,I MUNICIPALIDAD DE SAN NICOLAS,4804241.81,0.0838334369840716,3
CLF,I MUNICIPALIDAD DE PUENTE ALTO,4398311.8,0.076750007535861,4
CLF,I MUNICIPALIDAD DE LA REINA,2179788.12,0.038037038355620965,5
CLF,CORP ADMINISTRATIVA DEL PODER JUDICIAL,1513166.67,0.026404574892919985,6
CLF,SERVICIO DE VIVIENDA Y URBANIZACION REGIÓN DEL BIO BIO,1368617.31,0.02388220609012072,7
CLF,UNIVERSIDAD DE CHILE,1339931.79,0.023381647244754163,8
CLF,SUBSECRETARIA DE SALUD PUBLICA,924476.24,0.016131998278686027,9
CLF,SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,692708.42,0.0120876779256883,10
CLP,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,1488157844834.65,0.0538176378138609,1
CLP,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,1167542331310.06,0.042222920462968196,2
CLP,FONDO NACIONAL DE SALUD,742364167009.57,0.0268468066104565,3
CLP,COMANDO DE APOYO A LA FUERZA,727763351335.96,0.026318783717967836,4
CLP,DIRECCION DE LOGISTICA DE CARABINEROS,602467407101.73,0.02178758981958622,5
CLP,DIRECCION GENERAL DE GENDARMERIA DE CHIL,511229971776.09,0.01848808549182694,6
CLP,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,489173964568.31,0.017690453566122113,7
CLP,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,478284204518.88,0.017296637033652605,8
CLP,SERVICIO DE SALUD DE TALCAHUANO HOSPITAL,404570721150.11,0.014630867697618693,9
CLP,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,390112516624.69,0.014108002184871802,10
EUR,UNIVERSIDAD DE CHILE,2247057.14,0.7731679688268804,1
EUR,DIRECCION GENERAL DE AERONAUTICA CIVIL,266275.8,0.09162024221322322,2
EUR,UNIVERSIDAD DE SANTIAGO DE CHILE,245878.99,0.08460210285329231,3
EUR,Superintendencia del Medio Ambiente,37332.68,0.012845437640479362,4
EUR,COMISION PARA EL MERCADO FINANCIERO,29329.05,0.010091546677857074,5
EUR,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,17612.0,0.006059941255868117,6
EUR,CONSEJO NACIONAL DE TELEVISION,15000.0,0.005161203658756629,7
EUR,SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO,13197.1,0.004540861386998473,8
EUR,SERVICIO AGRICOLA Y GANADERO,9746.1,0.003353440465240532,9
EUR,SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES,8750.0,0.0030107021342747004,10
USD,CORP NACIONAL FORESTAL,184582425.74,0.19302758547861187,1
USD,DIRECCION GENERAL DE AERONAUTICA CIVIL,176674267.81,0.18475760731199253,2
USD,SUBSECRETARIA DE SALUD PUBLICA,171608033.11,0.17945957827326678,3
USD,FONDO HOSPITAL DE LA DIRECCION DE PREVISION DE CARABINEROS DE CHILE,57841955.76,0.06048838623152817,4
USD,SERVICIO AGRICOLA Y GANADERO,36229443.28,0.03788704114997032,5
USD,SERVICIO DE IMPUESTOS INTERNOS DIRECCION,24758240.77,0.025890999196548043,6
USD,SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,17944648.95,0.018765666586042604,7
USD,CORP ADMINISTRATIVA DEL PODER JUDICIAL,14417715.38,0.01507736598845744,8
USD,UNIVERSIDAD DE CHILE,12045582.15,0.012596701060662779,9
USD,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,11883924.62,0.012427647248712715,10
UTM,I MUNICIPALIDAD DE VITACURA,9123982.88,0.8627019423190121,1
UTM,I MUNICIPALIDAD DE LAS CONDES,1182762.34,0.11183398538114965,2
UTM,I MUNICIPALIDAD DE PROVIDENCIA,185772.43,0.017565381072955577,3
UTM,I MUNICIPALIDAD DE RECOLETA,60851.46,0.0057537013632524125,4
UTM,UNIVERSIDAD DE CHILE,8491.28,0.0008028778489745019,5
UTM,I MUNICIPALIDAD LO BARNECHEA,2720.77,0.0002572575589492227,6
UTM,MUNICIPALIDAD DE HUALPEN,2700.08,0.0002553012528687163,7
UTM,INSTITUTO PSIQUIATRICO DR JOSE HORWITZ BARAK,2176.24,0.00020577049514940857,8
UTM,DIRECCION GENERAL DE PROMOCION DE EXPORTACIONES,1150.0,0.00010873620070480271,9
UTM,MUNICIPALIDAD DE LOS ANDES,585.0,5.531363253244312e-05,10
