periodo,moneda_norm,total_monto
2024-09,CLF,109545015.0
2024-09,CLP,4389384220728.0
2024-09,USD,2771205410.0
2024-09,,18179.0
2024-10,CLF,476623986.0
2024-10,CLP,11154697372375.0
2024-10,USD,233834706.0
2024-10,,34998.0
2024-11,CLF,180484810.0
2024-11,CLP,64109516644258.0
2024-11,USD,8204141430.0
2024-11,,8232.0
2024-12,CLF,6943114.0
2024-12,CLP,30986824937457.0
2024-12,USD,51199133.0
2024-12,,1916569.0
2025-02,CLF,1570829640.0
2025-02,CLP,31365663251681.0
2025-02,USD,53842478.0
2025-02,,35858.0
2025-03,CLF,220004199.0
2025-03,CLP,44894406964341.0
2025-03,USD,120733446.0
2025-03,,638428.0
2025-04,CLF,107158294996.0
2025-04,CLP,92246430461745.0
2025-04,USD,133508830.0
2025-04,,16837812.0
2025-05,CLF,2987996.0
2025-05,CLP,42305179239835.0
2025-05,USD,876111123.0
2025-05,,4092220.0
2025-06,CLF,53896543.0
2025-06,CLP,62517769543691.0
2025-06,USD,65675346.0
2025-06,,101194.0
2025-07,CLF,509680286.0
2025-07,CLP,24551159380856.0
2025-07,USD,811943383.0
2025-07,,1621718580.0
2025-08,CLF,593663764.0
2025-08,CLP,19283969010550.0
2025-08,USD,3000076514.0
2025-08,,12051.0
2025-09,CLF,311090088.0
2025-09,CLP,38465935119577.0
2025-09,USD,16898093.0
2025-09,,12600.0
2025-10,CLF,707305402.0
2025-10,CLP,2742170201183.0
2025-10,USD,674152.0
