periodo,moneda_norm,total_monto
2024-09,CLF,742176.53
2024-09,CLP,2010380973708.97
2024-09,EUR,24956.15
2024-09,USD,134871069.57
2024-09,UTM,62835.25
2024-10,CLF,3068507.01
2024-10,CLP,2564630953053.68
2024-10,EUR,304354.85
2024-10,USD,156686384.63
2024-10,UTM,118380.27
2024-11,CLF,5291883.81
2024-11,CLP,1995045132769.84
2024-11,EUR,6080.9
2024-11,USD,125045327.84
2024-11,UTM,679210.77
2024-12,CLF,1270826.05
2024-12,CLP,2986811080510.57
2024-12,EUR,305780.09
2024-12,USD,52894039.38
2024-12,UTM,127690.9
2025-01,CLF,538586.63
2025-01,CLP,454203486819.07
2025-01,USD,7346096.31
2025-01,UTM,1492.81
2025-02,CLF,876066.97
2025-02,CLP,2126841758200.16
2025-02,USD,34336628.38
2025-02,UTM,35486.33
2025-03,CLF,665656.6
2025-03,CLP,607218494972.37
2025-03,USD,12263509.48
2025-03,UTM,2717.34
2025-04,CLF,6420811.25
2025-04,CLP,2346090209571.04
2025-04,EUR,12947.2
2025-04,USD,42666433.87
2025-04,UTM,106697.16
2025-05,CLF,1725652.06
2025-05,CLP,2249527802516.91
2025-05,EUR,1974969.99
2025-05,USD,18895185.79
2025-05,UTM,9006051.62
2025-06,CLF,9936388.45
2025-06,CLP,2320927118996.14
2025-06,EUR,11424.0
2025-06,USD,78631826.29
2025-06,UTM,49893.41
2025-07,CLF,6984298.23
2025-07,CLP,2239393847765.69
2025-07,EUR,38986.78
2025-07,USD,40022636.07
2025-07,UTM,303378.27
2025-08,CLF,6979893.98
2025-08,CLP,2189271235427.27
2025-08,EUR,17860.28
2025-08,USD,188590705.11
2025-08,UTM,21817.96
2025-09,CLF,6687579.24
2025-09,CLP,1882105745966.58
2025-09,EUR,60137.84
2025-09,USD,44951597.8
2025-09,UTM,43951.04
2025-10,CLF,6118661.7
2025-10,CLP,1679413246262.57
2025-10,EUR,148800.72
2025-10,USD,19047508.47
2025-10,UTM,16451.51
