columna,pct_nulos,pct_no_nulos,n_distinct
fecha_aceptacion_sk,12.0433,87.9567,352
sector_estado_norm,0.91,99.09,7
monto_total,0.5167,99.4833,24911
cantidad_total,0.0233,99.9767,1005
cantidad_items,0.0,100.0,1
flag_moneda_missing,0.0,100.0,1
flag_moneda_unknown,0.0,100.0,1
flag_sector_unknown,0.0,100.0,1
flag_organismo_valido,0.0,100.0,1
flag_fuente_preferente_missing,0.0,100.0,1
flag_sector_missing,0.0,100.0,2
moneda,0.0,100.0,4
moneda_raw,0.0,100.0,4
moneda_norm,0.0,100.0,4
estado_oc,0.0,100.0,5
tipo_oc,0.0,100.0,6
periodo,0.0,100.0,12
source_file,0.0,100.0,12
ingested_at,0.0,100.0,12
fecha_creacion_sk,0.0,100.0,393
organismo_sk,0.0,100.0,816
producto_onu_sk,0.0,100.0,4261
proveedor_sk,0.0,100.0,6896
orden_compra_sk,0.0,100.0,30000
orden_compra_bk,0.0,100.0,30000
