moneda_norm,monto,organismo_sk,proveedor_sk,fecha_sk,nombre_organismo,anio_mes
CLP,3357380936000.0,156,882,358,SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA,2025-07
CLP,3357380936000.0,156,2164,358,SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA,2025-07
CLP,1102918387730.0,121,18331,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,18331,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,49226,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,49226,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,7242,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,7242,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,7348,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,7348,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,2261,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,2261,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,2261,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,49226,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,6473,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,7348,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,6473,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,6473,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,7242,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
CLP,1102918387730.0,121,18331,84,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-11
