moneda_norm,monto,organismo_sk,proveedor_sk,fecha_sk,nombre_organismo,anio_mes
CLP,403570899169.34,121,14059,123,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-12
CLP,403570899169.34,121,14059,123,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-12
CLP,252806363831.0,121,16077,123,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2024-12
CLP,59828716000.0,627,2562,227,FONDO NACIONAL DE SALUD,2025-03
CLP,55616404031.44,825,13163,290,I MUNICIPALIDAD DE VINA DEL MAR,2025-05
CLP,52881702923.42,461,9181,26,SERVICIO DE SALUD ATACAMA,2024-09
CLP,51346120000.0,484,3544,290,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,2025-05
CLP,48788503218.0,799,484,234,I MUNICIPALIDAD DE CONCEPCION,2025-03
CLP,39767836500.0,484,8926,247,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,2025-04
CLP,35323997247.0,484,3544,394,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,2025-08
CLP,31049674152.31,342,39921,69,DIRECCION DE LOGISTICA DE CARABINEROS,2024-11
CLP,30594000000.0,154,41062,427,I MUNICIPALIDAD DE TALCAHUANO,2025-09
CLP,30594000000.0,154,41062,427,I MUNICIPALIDAD DE TALCAHUANO,2025-09
CLP,29858052000.0,484,26373,95,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,2024-12
CLP,29143946090.0,295,630,10,I MUNICIPALIDAD DE MAIPU,2024-09
CLP,28917357165.0,627,28343,42,FONDO NACIONAL DE SALUD,2024-10
CLP,26025300000.0,484,10545,95,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,2024-12
CLP,24711299744.0,771,38346,346,SERVICIO DE VIVIENDA Y URBANIZACION AREA METROPOLITANA,2025-07
CLP,23947560000.0,396,26179,316,I MUNICIPALIDAD DE RANCAGUA,2025-06
CLP,22783785339.0,484,4681,379,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,2025-08
