periodo,oc_total,oc_con_lic,oc_sin_lic,pct_oc_con_lic
2024-09,152598.0,57813.0,94785.0,37.886
2024-10,192514.0,71010.0,121504.0,36.886
2024-11,180691.0,67944.0,112747.0,37.602
2024-12,156428.0,66340.0,90088.0,42.409
2025-01,139821.0,61434.0,78387.0,43.938
2025-02,126438.0,49157.0,77281.0,38.878
2025-03,0.0,0.0,0.0,0.0
2025-04,161980.0,58492.0,103488.0,36.111
2025-05,157037.0,58134.0,98903.0,37.019
2025-06,155481.0,57970.0,97511.0,37.284
2025-07,164410.0,61423.0,102987.0,37.36
2025-08,159972.0,59545.0,100427.0,37.222
2025-09,150666.0,56000.0,94666.0,37.168
2025-10,172103.0,61407.0,110696.0,35.68
