periodo,lic_total,lic_con_oc,oc_total,oc_con_lic,pct_lic_con_oc,pct_oc_con_lic
2024-09,11496.0,1395.0,152598.0,57813.0,12.135,37.886
2024-10,15410.0,2457.0,192514.0,71010.0,15.944,36.886
2024-11,15068.0,2251.0,180691.0,67944.0,14.939,37.602
2024-12,8230.0,1569.0,156428.0,66340.0,19.064,42.409
2025-01,0.0,0.0,139821.0,61434.0,0.0,43.938
2025-02,8481.0,693.0,126438.0,49157.0,8.171,38.878
2025-03,9325.0,0.0,0.0,0.0,0.0,0.0
2025-04,10357.0,803.0,161980.0,58492.0,7.753,36.111
2025-05,9654.0,614.0,157037.0,58134.0,6.36,37.019
2025-06,9642.0,752.0,155481.0,57970.0,7.799,37.284
2025-07,10288.0,829.0,164410.0,61423.0,8.058,37.36
2025-08,9566.0,803.0,159972.0,59545.0,8.394,37.222
2025-09,8682.0,610.0,150666.0,56000.0,7.026,37.168
2025-10,9920.0,940.0,172103.0,61407.0,9.476,35.68
