kpi,moneda_val,valor_pbi
OC_Conteo,CLP,4531314.0
OC_Monto_Total,CLP,27651861086540.84
OC_Proveedores_Distintos,CLP,37550.0
OC_Productos_ONU_Distintos,CLP,9716.0
OC_Organismos_Distintos,CLP,845.0
OC_Conteo,CLF,11901.0
OC_Monto_Total,CLF,57306988.51
OC_Proveedores_Distintos,CLF,1114.0
OC_Productos_ONU_Distintos,CLF,688.0
OC_Organismos_Distintos,CLF,573.0
OC_Conteo,USD,12744.0
OC_Monto_Total,USD,956248948.99
OC_Proveedores_Distintos,USD,620.0
OC_Productos_ONU_Distintos,USD,525.0
OC_Organismos_Distintos,USD,607.0
OC_Conteo,EUR,35.0
OC_Monto_Total,EUR,2906298.8
OC_Proveedores_Distintos,EUR,18.0
OC_Productos_ONU_Distintos,EUR,20.0
OC_Organismos_Distintos,EUR,15.0
OC_Conteo,UTM,818.0
OC_Monto_Total,UTM,10576054.64
OC_Proveedores_Distintos,UTM,129.0
OC_Productos_ONU_Distintos,UTM,130.0
OC_Organismos_Distintos,UTM,50.0
