kpi,moneda_val,valor_sql,valor_pbi,diff_abs,diff_abs_eff,diff_pct,estado
OC_Conteo,CLP,4531314.0,4531314.0,0.0,0.0,0.0,OK
OC_Monto_Total,CLP,27651861086540.86,27651861086540.84,0.01953125,0.0,7.063267799181354e-14,OK
OC_Proveedores_Distintos,CLP,37550.0,37550.0,0.0,0.0,0.0,OK
OC_Productos_ONU_Distintos,CLP,9716.0,9716.0,0.0,0.0,0.0,OK
OC_Organismos_Distintos,CLP,845.0,845.0,0.0,0.0,0.0,OK
OC_Conteo,USD,12744.0,12744.0,0.0,0.0,0.0,OK
OC_Monto_Total,USD,956248948.99,956248948.99,0.0,0.0,0.0,OK
OC_Proveedores_Distintos,USD,620.0,620.0,0.0,0.0,0.0,OK
OC_Productos_ONU_Distintos,USD,525.0,525.0,0.0,0.0,0.0,OK
OC_Organismos_Distintos,USD,607.0,607.0,0.0,0.0,0.0,OK
OC_Conteo,EUR,35.0,35.0,0.0,0.0,0.0,OK
OC_Monto_Total,EUR,2906298.8,2906298.8,0.0,0.0,0.0,OK
OC_Proveedores_Distintos,EUR,18.0,18.0,0.0,0.0,0.0,OK
OC_Productos_ONU_Distintos,EUR,20.0,20.0,0.0,0.0,0.0,OK
OC_Organismos_Distintos,EUR,15.0,15.0,0.0,0.0,0.0,OK
OC_Conteo,CLF,11901.0,11901.0,0.0,0.0,0.0,OK
OC_Monto_Total,CLF,57306988.51,57306988.51,0.0,0.0,0.0,OK
OC_Proveedores_Distintos,CLF,1114.0,1114.0,0.0,0.0,0.0,OK
OC_Productos_ONU_Distintos,CLF,688.0,688.0,0.0,0.0,0.0,OK
OC_Organismos_Distintos,CLF,573.0,573.0,0.0,0.0,0.0,OK
OC_Conteo,UTM,818.0,818.0,0.0,0.0,0.0,OK
OC_Monto_Total,UTM,10576054.64,10576054.64,0.0,0.0,0.0,OK
OC_Proveedores_Distintos,UTM,129.0,129.0,0.0,0.0,0.0,OK
OC_Productos_ONU_Distintos,UTM,130.0,130.0,0.0,0.0,0.0,OK
OC_Organismos_Distintos,UTM,50.0,50.0,0.0,0.0,0.0,OK
