kpi,moneda_norm,kpi_type,grain,source_view,run_ts,valor_pbi_str,valor_sql_str,diff_abs_str,diff_pct_str,estado
LIC_Conteo,,count,global,dw_sem.v_fact_licitaciones_sem_v2,2026-02-12 15:55:42,4633081,4633081,0,0,OK
OC_Conteo_Total_tabla,,count,global,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,4556812,4556812,0,0,OK
OC_Conteo_por_moneda,CLP,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,4531314,4531314,0,0,OK
OC_Conteo_por_moneda,USD,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,12744,12744,0,0,OK
OC_Conteo_por_moneda,EUR,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,35,35,0,0,OK
OC_Conteo_por_moneda,CLF,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,11901,11901,0,0,OK
OC_Conteo_por_moneda,UTM,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,818,818,0,0,OK
OC_Conteo_etiqueta,CLP,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,4531314,4531314,0,0,OK
OC_Conteo_etiqueta,USD,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,12744,12744,0,0,OK
OC_Conteo_etiqueta,EUR,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,35,35,0,0,OK
OC_Conteo_etiqueta,CLF,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,11901,11901,0,0,OK
OC_Conteo_etiqueta,UTM,count,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,818,818,0,0,OK
OC_Monto_Total_tabla,CLP,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,27651861086540.85,27651861086541,-0.15,-5.4245896697712528421984331464455646248711575614757E-15,OK
OC_Monto_Total_tabla,USD,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,956248949,956248949,0,0,OK
OC_Monto_Total_tabla,EUR,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,2906298.80,2906299,-0.20,-6.8816044047773474098845301188900384991358425268701E-8,OK
OC_Monto_Total_tabla,CLF,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,57306988.51,57306989,-0.49,-8.5504405056074399581523991776989016121576375265502E-9,OK
OC_Monto_Total_tabla,UTM,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,10576055,10576055,0,0,OK
OC_Monto_Total_etiqueta,CLP,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,27651861086540.85,27651861086541,-0.15,-5.4245896697712528421984331464455646248711575614757E-15,OK
OC_Monto_Total_etiqueta,USD,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,956248949,956248949,0,0,OK
OC_Monto_Total_etiqueta,EUR,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,2906298.80,2906299,-0.20,-6.8816044047773474098845301188900384991358425268701E-8,OK
OC_Monto_Total_etiqueta,CLF,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,57306988.51,57306989,-0.49,-8.5504405056074399581523991776989016121576375265502E-9,OK
OC_Monto_Total_etiqueta,UTM,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,10576055,10576055,0,0,OK
OC_Monto_Total_fecha_aceptacion_valida,CLP,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,24497269082853,24497269082853,0,0,OK
OC_Monto_Total_fecha_aceptacion_valida,USD,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,745919455,745919455,0,0,OK
OC_Monto_Total_fecha_aceptacion_valida,EUR,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,2882762,2882762,0,0,OK
OC_Monto_Total_fecha_aceptacion_valida,CLF,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,33137707,33137707,0,0,OK
OC_Monto_Total_fecha_aceptacion_valida,UTM,amount,moneda,dw_sem.v_fact_ordenes_compra_sem_v2,2026-02-12 15:55:42,9754498,9754498,0,0,OK
