table_name,measure_name,expression,formatString,isHidden
SEM Medidas,SEM LIC Monto Adjudicado,"['', 'COALESCE (', ""    SUM ( 'dw_sem.v_fact_licitaciones_sem_v2'[monto_adjudicado] ),"", '    0', ')']","#,0",False
SEM Medidas,SEM LIC Monto Estimado,"['', 'SUMX (', ""    VALUES ( 'dw_sem.v_fact_licitaciones_sem_v2'[licitacion_sk] ),"", '    CALCULATE (', ""        MAX ( 'dw_sem.v_fact_licitaciones_sem_v2'[monto_estimado] ),"", ""        'dw_sem.v_fact_licitaciones_sem_v2'[flag_monto_estimado_anom] = 0,"", ""        'dw_sem.v_fact_licitaciones_sem_v2'[flag_moneda_missing] = 0,"", ""        'dw_sem.v_fact_licitaciones_sem_v2'[flag_moneda_unknown] = 0"", '    )', ')']",,False
SEM Medidas,SEM LIC N° Licitaciones,"['', ""COUNTROWS ( 'dw_sem.v_fact_licitaciones_sem_v2' )""]","#,0",False
SEM Medidas,SEM LIC Productos ONU Distintos,"['', ""DISTINCTCOUNT ( 'dw_sem.v_fact_licitaciones_sem_v2'[producto_onu_sk] )""]","#,0",False
SEM Medidas,SEM LIC Proveedores Distintos,"['', ""DISTINCTCOUNT ( 'dw_sem.v_fact_licitaciones_sem_v2'[proveedor_sk] )""]","#,0",False
SEM Medidas,OC Moneda Unica,"['', ""HASONEVALUE('dw_sem v_fact_ordenes_compra_sem_v2'[moneda])""]","""TRUE"";""TRUE"";""FALSE""",False
SEM Medidas,OC #,"['', ""COUNTROWS('dw_sem v_fact_ordenes_compra_sem_v2')""]",0,False
SEM Medidas,SEM LIC N° (Publicadas),"['', ""COUNTROWS ( 'dw_sem.v_fact_licitaciones_sem_v2' )""]",0,False
SEM Medidas,OC Monto (moneda unica),"['', 'IF(', '    [OC Moneda Unica],', ""    SUM('dw_sem v_fact_ordenes_compra_sem_v2'[monto_total]),"", '    BLANK()', ')']","#,0.00",False
SEM Medidas,OC Proveedores,"['', ""DISTINCTCOUNT('dw_sem v_fact_ordenes_compra_sem_v2'[proveedor_sk])""]","#,0",False
SEM Medidas,OC Productos ONU Distintos,"['', ""DISTINCTCOUNT('dw_sem v_fact_ordenes_compra_sem_v2'[producto_onu_sk])""]","#,0",False
SEM Medidas,OC Organismos Distintos,"['', ""DISTINCTCOUNT('dw_sem v_fact_ordenes_compra_sem_v2'[organismo_sk])""]","#,0",False
SEM Medidas,OC # Pendientes de Aceptacion,"['', 'CALCULATE(', '    [OC #],', '    FILTER(', ""        'dw_sem v_fact_ordenes_compra_sem_v2',"", ""        ISBLANK('dw_sem v_fact_ordenes_compra_sem_v2'[fecha_aceptacion_sk])"", '    )', ')']","#,0",False
SEM Medidas,SEM LIC Moneda Unica,"['', ""HASONEVALUE('dw_sem.v_fact_licitaciones_sem_v2'[moneda])""]","""TRUE"";""TRUE"";""FALSE""",False
SEM Medidas,SEM LIC Monto Adjudicado (moneda unica),"['', 'IF(', '    [SEM LIC Moneda Unica],', '    COALESCE(', ""        SUM('dw_sem.v_fact_licitaciones_sem_v2'[monto_adjudicado]),"", '        0', '    ),', '    BLANK()', ')']",,False
SEM Medidas,SEM LIC Monto Estimado (moneda unica),"['', 'IF(', '    [SEM LIC Moneda Unica],', '    SUMX(', ""        VALUES('dw_sem.v_fact_licitaciones_sem_v2'[licitacion_sk]),"", '        CALCULATE(', ""            MAX('dw_sem.v_fact_licitaciones_sem_v2'[monto_estimado]),"", ""            'dw_sem.v_fact_licitaciones_sem_v2'[flag_monto_estimado_anom] = 0,"", ""            'dw_sem.v_fact_licitaciones_sem_v2'[flag_moneda_missing] = 0,"", ""            'dw_sem.v_fact_licitaciones_sem_v2'[flag_moneda_unknown] = 0"", '        )', '    ),', '    BLANK()', ')']",,False
SEM Medidas,SEM LIC Aviso Moneda,"['', ""VAR m = SELECTEDVALUE('dw_sem.v_fact_licitaciones_sem_v2'[moneda])"", 'RETURN', 'IF(', '    m = ""Moneda revisar"",', '    ""⚠️ Moneda \'revisar\': montos no interpretables. Selecciona una moneda válida (CLP/USD/UF)."",', '    """"', ')']",,False
