entidad,periodo,estado,filas_dw
LIC,2024-09,OK,147755
LIC,2024-10,OK,199155
LIC,2024-11,OK,475782
LIC,2024-12,OK,312983
LIC,2025-02,OK,452154
LIC,2025-04,OK,494536
LIC,2025-05,OK,470000
LIC,2025-06,OK,407938
LIC,2025-07,OK,372640
LIC,2025-08,OK,358505
LIC,2025-09,OK,265167
LIC,2025-10,OK,190988
OC,2024-09,OK,324419
OC,2024-10,OK,477995
OC,2024-11,OK,429335
OC,2024-12,OK,373131
OC,2025-02,OK,316147
OC,2025-04,OK,405677
OC,2025-05,OK,376060
OC,2025-06,OK,372131
OC,2025-07,OK,382670
OC,2025-08,OK,371035
OC,2025-09,OK,340311
OC,2025-10,OK,387901
(24 rows)
