"Codigo";"Link";"CodigoExterno";"Nombre";"Descripcion";"Tipo de Adquisicion";"CodigoEstado";"Estado";"CodigoOrganismo";"NombreOrganismo";"sector";"RutUnidad";"CodigoUnidad";"NombreUnidad";"DireccionUnidad";"ComunaUnidad";"RegionUnidad";"Informada";"CodigoTipo";"Tipo";"TipoConvocatoria";"CodigoMoneda";"Moneda Adquisicion";"Etapas";"EstadoEtapas";"TomaRazon";"EstadoPublicidadOfertas";"JustificacionPublicidad";"EstadoCS";"Contrato";"Obras";"CantidadReclamos";"FechaCreacion";"FechaCierre";"FechaInicio";"FechaFinal";"FechaPubRespuestas";"FechaActoAperturaTecnica";"FechaActoAperturaEconomica";"FechaPublicacion";"FechaAdjudicacion";"FechaEstimadaAdjudicacion";"FechaSoporteFisico";"FechaTiempoEvaluacion";"UnidadTiempoEvaluacion";"FechaEstimadaFirma";"FechasUsuario";"FechaVisitaTerreno";"DireccionVisita";"FechaEntregaAntecedentes";"DireccionEntrega";"Estimacion";"FuenteFinanciamiento";"VisibilidadMonto";"MontoEstimado";"Tiempo";"UnidadTiempo";"Modalidad";"TipoPago";"ProhibicionContratacion";"SubContratacion";"UnidadTiempoDuracionContrato";"TiempoDuracionContrato";"TipoDuracionContrato";"JustificacionMontoEstimado";"ObservacionContrato";"ExtensionPlazo";"EsBaseTipo";"UnidadTiempoContratoLicitacion";"ValorTiempoRenovacion";"PeriodoTiempoRenovacion";"EsRenovable";"TipoAprobacion";"NumeroAprobacion";"FechaAprobacion";"NumeroOferentes";"Correlativo";"CodigoEstadoLicitacion";"Codigoitem";"CodigoProductoONU";"Rubro1";"Rubro2";"Rubro3";"Nombre producto genrico";"Nombre linea Adquisicion";"Descripcion linea Adquisicion";"UnidadMedida";"Cantidad";"CodigoProveedor";"CodigoSucursalProveedor";"RutProveedor";"NombreProveedor";"RazonSocialProveedor";"DescripcionProveedor";"Monto Estimado Adjudicado";"Nombre de la Oferta";"Estado Oferta";"Cantidad Ofertada";"Moneda de la Oferta";"MontoUnitarioOferta";"Valor Total Ofertado";"CantidadAdjudicada";"MontoLineaAdjudica";"FechaEnvioOferta";"Oferta seleccionada"
9291266;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=2563-1-LR24";"2563-1-LR24";"Infraestructura Crítica de Comunicaciones";"La Dirección General de Aeronáutica Civil, llama a propuesta pública para la contratación de los servicios de infraestructura crítica de comunicaciones, por un periodo de sesenta (60) meses.";"Licitación Pública Mayor a 5000 (LR)";7;"Desierta (o art. 3 ó 9 Ley 19.886)";7202;"DIRECCION GENERAL DE AERONAUTICA CIVIL";"Gob. Central, Universidades";"61.104.000-8";3554;"UNIDAD DE COMPRA CONTRATOS NACIONALES";"Miguel Claro 1314";"Providencia";"Región Metropolitana de Santiago";0;1;"LR";1;"CLP";"Peso Chileno";1;1;0;1;"";1;0;0;185;"2024-01-08";"2024-12-09";"2024-09-09";"2024-10-04";"2024-10-18";"2024-12-10";"2024-12-10";"2024-09-09";"2025-01-29";"2025-04-16";"2024-12-09";14;"RFB_TIME_PERIOD_DAYS";"2025-06-16";9;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";2;"DGAC - Recursos Propios";0;1e+10;60;"RFB_TIME_PERIOD_DAYS";"RFB_CONTRACT_PAYMENT_METHOD_30_DAYS";1;"";0;4;60;"";"";"";0;0;2;0;NA;0;NA;NA;NA;2;1;7;41607456;83111601;"SERVICIOS BÁSICOS Y DE INFORMACIÓN PÚBLICA";"TELECOMUNICACIONES";"COMUNICACIONES MÓVILES";"SERVICIO DE REDES PARA MEJORAR LA SEÑAL DE TELECOMUNICACIONES";"Servicio de redes para mejorar la señal de telecomunicaciones";"COMPONENTE 1 ENLACES RED WAN IP-MPLS, SD-WAN Y ACCESO A INTERNET";"Mes";60;21214;20628;"78.703.410-1";"TELEFONICA EMPRESAS CHILE SA";"TELEFONICA EMPRESAS CHILE SA";"valor neto mensual";NA;"Licitacion red WAN Infraestructura Crítica de Comunicaciones";"Aceptada";60;"Peso Chileno";105312159,76;6318729585,6;0;0;"2024-12-09";"No Seleccionada"
9291266;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=2563-1-LR24";"2563-1-LR24";"Infraestructura Crítica de Comunicaciones";"La Dirección General de Aeronáutica Civil, llama a propuesta pública para la contratación de los servicios de infraestructura crítica de comunicaciones, por un periodo de sesenta (60) meses.";"Licitación Pública Mayor a 5000 (LR)";7;"Desierta (o art. 3 ó 9 Ley 19.886)";7202;"DIRECCION GENERAL DE AERONAUTICA CIVIL";"Gob. Central, Universidades";"61.104.000-8";3554;"UNIDAD DE COMPRA CONTRATOS NACIONALES";"Miguel Claro 1314";"Providencia";"Región Metropolitana de Santiago";0;1;"LR";1;"CLP";"Peso Chileno";1;1;0;1;"";1;0;0;185;"2024-01-08";"2024-12-09";"2024-09-09";"2024-10-04";"2024-10-18";"2024-12-10";"2024-12-10";"2024-09-09";"2025-01-29";"2025-04-16";"2024-12-09";14;"RFB_TIME_PERIOD_DAYS";"2025-06-16";9;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";2;"DGAC - Recursos Propios";0;1e+10;60;"RFB_TIME_PERIOD_DAYS";"RFB_CONTRACT_PAYMENT_METHOD_30_DAYS";1;"";0;4;60;"";"";"";0;0;2;0;NA;0;NA;NA;NA;2;1;7;41607456;83111601;"SERVICIOS BÁSICOS Y DE INFORMACIÓN PÚBLICA";"TELECOMUNICACIONES";"COMUNICACIONES MÓVILES";"SERVICIO DE REDES PARA MEJORAR LA SEÑAL DE TELECOMUNICACIONES";"Servicio de redes para mejorar la señal de telecomunicaciones";"COMPONENTE 1 ENLACES RED WAN IP-MPLS, SD-WAN Y ACCESO A INTERNET";"Mes";60;41738;42456;"92.580.000-7";"ENTEL CHILE S.A.";"EMPRESA NACIONAL DE TELECOMUNICACIONES S A";"FORMULARIO ECONÓMICO COMPONENTE ENLACES RED WAN IP-MPLS, SD-WAN Y ACCESO A INTERNET";NA;"Propuesta ENTEL S.A. Servicios de Infraestructura Crítica";"Aceptada";60;"Peso Chileno";142464823;8547889380;0;0;"2024-12-09";"No Seleccionada"
9291266;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=2563-1-LR24";"2563-1-LR24";"Infraestructura Crítica de Comunicaciones";"La Dirección General de Aeronáutica Civil, llama a propuesta pública para la contratación de los servicios de infraestructura crítica de comunicaciones, por un periodo de sesenta (60) meses.";"Licitación Pública Mayor a 5000 (LR)";7;"Desierta (o art. 3 ó 9 Ley 19.886)";7202;"DIRECCION GENERAL DE AERONAUTICA CIVIL";"Gob. Central, Universidades";"61.104.000-8";3554;"UNIDAD DE COMPRA CONTRATOS NACIONALES";"Miguel Claro 1314";"Providencia";"Región Metropolitana de Santiago";0;1;"LR";1;"CLP";"Peso Chileno";1;1;0;1;"";1;0;0;185;"2024-01-08";"2024-12-09";"2024-09-09";"2024-10-04";"2024-10-18";"2024-12-10";"2024-12-10";"2024-09-09";"2025-01-29";"2025-04-16";"2024-12-09";14;"RFB_TIME_PERIOD_DAYS";"2025-06-16";9;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";2;"DGAC - Recursos Propios";0;1e+10;60;"RFB_TIME_PERIOD_DAYS";"RFB_CONTRACT_PAYMENT_METHOD_30_DAYS";1;"";0;4;60;"";"";"";0;0;2;0;NA;0;NA;NA;NA;2;2;7;41607457;83111601;"SERVICIOS BÁSICOS Y DE INFORMACIÓN PÚBLICA";"TELECOMUNICACIONES";"COMUNICACIONES MÓVILES";"SERVICIO DE REDES PARA MEJORAR LA SEÑAL DE TELECOMUNICACIONES";"Servicio de redes para mejorar la señal de telecomunicaciones";"COMPONENTE 2: Seguridad de Red Perimetral y NG-AV";"Mes";60;21214;20628;"78.703.410-1";"TELEFONICA EMPRESAS CHILE SA";"TELEFONICA EMPRESAS CHILE SA";"valor neto mensual";NA;"Licitacion red WAN Infraestructura Crítica de Comunicaciones";"Aceptada";60;"Peso Chileno";49628075,54;2977684532,4;0;0;"2024-12-09";"No Seleccionada"
9291266;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=2563-1-LR24";"2563-1-LR24";"Infraestructura Crítica de Comunicaciones";"La Dirección General de Aeronáutica Civil, llama a propuesta pública para la contratación de los servicios de infraestructura crítica de comunicaciones, por un periodo de sesenta (60) meses.";"Licitación Pública Mayor a 5000 (LR)";7;"Desierta (o art. 3 ó 9 Ley 19.886)";7202;"DIRECCION GENERAL DE AERONAUTICA CIVIL";"Gob. Central, Universidades";"61.104.000-8";3554;"UNIDAD DE COMPRA CONTRATOS NACIONALES";"Miguel Claro 1314";"Providencia";"Región Metropolitana de Santiago";0;1;"LR";1;"CLP";"Peso Chileno";1;1;0;1;"";1;0;0;185;"2024-01-08";"2024-12-09";"2024-09-09";"2024-10-04";"2024-10-18";"2024-12-10";"2024-12-10";"2024-09-09";"2025-01-29";"2025-04-16";"2024-12-09";14;"RFB_TIME_PERIOD_DAYS";"2025-06-16";9;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";2;"DGAC - Recursos Propios";0;1e+10;60;"RFB_TIME_PERIOD_DAYS";"RFB_CONTRACT_PAYMENT_METHOD_30_DAYS";1;"";0;4;60;"";"";"";0;0;2;0;NA;0;NA;NA;NA;2;2;7;41607457;83111601;"SERVICIOS BÁSICOS Y DE INFORMACIÓN PÚBLICA";"TELECOMUNICACIONES";"COMUNICACIONES MÓVILES";"SERVICIO DE REDES PARA MEJORAR LA SEÑAL DE TELECOMUNICACIONES";"Servicio de redes para mejorar la señal de telecomunicaciones";"COMPONENTE 2: Seguridad de Red Perimetral y NG-AV";"Mes";60;41738;42456;"92.580.000-7";"ENTEL CHILE S.A.";"EMPRESA NACIONAL DE TELECOMUNICACIONES S A";"COMPONENTE 2: Seguridad de Red Perimetral y NG-AV";NA;"Propuesta ENTEL S.A. Servicios de Infraestructura Crítica";"Aceptada";60;"Peso Chileno";31623395;1897403700;0;0;"2024-12-09";"No Seleccionada"
9291266;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=2563-1-LR24";"2563-1-LR24";"Infraestructura Crítica de Comunicaciones";"La Dirección General de Aeronáutica Civil, llama a propuesta pública para la contratación de los servicios de infraestructura crítica de comunicaciones, por un periodo de sesenta (60) meses.";"Licitación Pública Mayor a 5000 (LR)";7;"Desierta (o art. 3 ó 9 Ley 19.886)";7202;"DIRECCION GENERAL DE AERONAUTICA CIVIL";"Gob. Central, Universidades";"61.104.000-8";3554;"UNIDAD DE COMPRA CONTRATOS NACIONALES";"Miguel Claro 1314";"Providencia";"Región Metropolitana de Santiago";0;1;"LR";1;"CLP";"Peso Chileno";1;1;0;1;"";1;0;0;185;"2024-01-08";"2024-12-09";"2024-09-09";"2024-10-04";"2024-10-18";"2024-12-10";"2024-12-10";"2024-09-09";"2025-01-29";"2025-04-16";"2024-12-09";14;"RFB_TIME_PERIOD_DAYS";"2025-06-16";9;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";2;"DGAC - Recursos Propios";0;1e+10;60;"RFB_TIME_PERIOD_DAYS";"RFB_CONTRACT_PAYMENT_METHOD_30_DAYS";1;"";0;4;60;"";"";"";0;0;2;0;NA;0;NA;NA;NA;2;3;7;41607458;83111601;"SERVICIOS BÁSICOS Y DE INFORMACIÓN PÚBLICA";"TELECOMUNICACIONES";"COMUNICACIONES MÓVILES";"SERVICIO DE REDES PARA MEJORAR LA SEÑAL DE TELECOMUNICACIONES";"Servicio de redes para mejorar la señal de telecomunicaciones";"COMPONENTE 3: Servicios Gestionados";"Mes";60;21214;20628;"78.703.410-1";"TELEFONICA EMPRESAS CHILE SA";"TELEFONICA EMPRESAS CHILE SA";"valor neto mensual";NA;"Licitacion red WAN Infraestructura Crítica de Comunicaciones";"Aceptada";60;"Peso Chileno";11090108,27;665406496,2;0;0;"2024-12-09";"No Seleccionada"
9291266;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=2563-1-LR24";"2563-1-LR24";"Infraestructura Crítica de Comunicaciones";"La Dirección General de Aeronáutica Civil, llama a propuesta pública para la contratación de los servicios de infraestructura crítica de comunicaciones, por un periodo de sesenta (60) meses.";"Licitación Pública Mayor a 5000 (LR)";7;"Desierta (o art. 3 ó 9 Ley 19.886)";7202;"DIRECCION GENERAL DE AERONAUTICA CIVIL";"Gob. Central, Universidades";"61.104.000-8";3554;"UNIDAD DE COMPRA CONTRATOS NACIONALES";"Miguel Claro 1314";"Providencia";"Región Metropolitana de Santiago";0;1;"LR";1;"CLP";"Peso Chileno";1;1;0;1;"";1;0;0;185;"2024-01-08";"2024-12-09";"2024-09-09";"2024-10-04";"2024-10-18";"2024-12-10";"2024-12-10";"2024-09-09";"2025-01-29";"2025-04-16";"2024-12-09";14;"RFB_TIME_PERIOD_DAYS";"2025-06-16";9;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";2;"DGAC - Recursos Propios";0;1e+10;60;"RFB_TIME_PERIOD_DAYS";"RFB_CONTRACT_PAYMENT_METHOD_30_DAYS";1;"";0;4;60;"";"";"";0;0;2;0;NA;0;NA;NA;NA;2;3;7;41607458;83111601;"SERVICIOS BÁSICOS Y DE INFORMACIÓN PÚBLICA";"TELECOMUNICACIONES";"COMUNICACIONES MÓVILES";"SERVICIO DE REDES PARA MEJORAR LA SEÑAL DE TELECOMUNICACIONES";"Servicio de redes para mejorar la señal de telecomunicaciones";"COMPONENTE 3: Servicios Gestionados";"Mes";60;41738;42456;"92.580.000-7";"ENTEL CHILE S.A.";"EMPRESA NACIONAL DE TELECOMUNICACIONES S A";"COMPONENTE 3: Servicios Gestionados";NA;"Propuesta ENTEL S.A. Servicios de Infraestructura Crítica";"Aceptada";60;"Peso Chileno";18173004;1090380240;0;0;"2024-12-09";"No Seleccionada"
9291266;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=2563-1-LR24";"2563-1-LR24";"Infraestructura Crítica de Comunicaciones";"La Dirección General de Aeronáutica Civil, llama a propuesta pública para la contratación de los servicios de infraestructura crítica de comunicaciones, por un periodo de sesenta (60) meses.";"Licitación Pública Mayor a 5000 (LR)";7;"Desierta (o art. 3 ó 9 Ley 19.886)";7202;"DIRECCION GENERAL DE AERONAUTICA CIVIL";"Gob. Central, Universidades";"61.104.000-8";3554;"UNIDAD DE COMPRA CONTRATOS NACIONALES";"Miguel Claro 1314";"Providencia";"Región Metropolitana de Santiago";0;1;"LR";1;"CLP";"Peso Chileno";1;1;0;1;"";1;0;0;185;"2024-01-08";"2024-12-09";"2024-09-09";"2024-10-04";"2024-10-18";"2024-12-10";"2024-12-10";"2024-09-09";"2025-01-29";"2025-04-16";"2024-12-09";14;"RFB_TIME_PERIOD_DAYS";"2025-06-16";9;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";2;"DGAC - Recursos Propios";0;1e+10;60;"RFB_TIME_PERIOD_DAYS";"RFB_CONTRACT_PAYMENT_METHOD_30_DAYS";1;"";0;4;60;"";"";"";0;0;2;0;NA;0;NA;NA;NA;2;4;7;41607459;83111601;"SERVICIOS BÁSICOS Y DE INFORMACIÓN PÚBLICA";"TELECOMUNICACIONES";"COMUNICACIONES MÓVILES";"SERVICIO DE REDES PARA MEJORAR LA SEÑAL DE TELECOMUNICACIONES";"Servicio de redes para mejorar la señal de telecomunicaciones";"COMPONENTE 4: Habilitaciones Técnicas";"Unidad";1;21214;20628;"78.703.410-1";"TELEFONICA EMPRESAS CHILE SA";"TELEFONICA EMPRESAS CHILE SA";"valor neto ";NA;"Licitacion red WAN Infraestructura Crítica de Comunicaciones";"Aceptada";1;"Peso Chileno";33569141,01;33569141,01;0;0;"2024-12-09";"No Seleccionada"
9291266;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=2563-1-LR24";"2563-1-LR24";"Infraestructura Crítica de Comunicaciones";"La Dirección General de Aeronáutica Civil, llama a propuesta pública para la contratación de los servicios de infraestructura crítica de comunicaciones, por un periodo de sesenta (60) meses.";"Licitación Pública Mayor a 5000 (LR)";7;"Desierta (o art. 3 ó 9 Ley 19.886)";7202;"DIRECCION GENERAL DE AERONAUTICA CIVIL";"Gob. Central, Universidades";"61.104.000-8";3554;"UNIDAD DE COMPRA CONTRATOS NACIONALES";"Miguel Claro 1314";"Providencia";"Región Metropolitana de Santiago";0;1;"LR";1;"CLP";"Peso Chileno";1;1;0;1;"";1;0;0;185;"2024-01-08";"2024-12-09";"2024-09-09";"2024-10-04";"2024-10-18";"2024-12-10";"2024-12-10";"2024-09-09";"2025-01-29";"2025-04-16";"2024-12-09";14;"RFB_TIME_PERIOD_DAYS";"2025-06-16";9;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";2;"DGAC - Recursos Propios";0;1e+10;60;"RFB_TIME_PERIOD_DAYS";"RFB_CONTRACT_PAYMENT_METHOD_30_DAYS";1;"";0;4;60;"";"";"";0;0;2;0;NA;0;NA;NA;NA;2;4;7;41607459;83111601;"SERVICIOS BÁSICOS Y DE INFORMACIÓN PÚBLICA";"TELECOMUNICACIONES";"COMUNICACIONES MÓVILES";"SERVICIO DE REDES PARA MEJORAR LA SEÑAL DE TELECOMUNICACIONES";"Servicio de redes para mejorar la señal de telecomunicaciones";"COMPONENTE 4: Habilitaciones Técnicas";"Unidad";1;41738;42456;"92.580.000-7";"ENTEL CHILE S.A.";"EMPRESA NACIONAL DE TELECOMUNICACIONES S A";"COMPONENTE 4: Habilitaciones Técnicas";NA;"Propuesta ENTEL S.A. Servicios de Infraestructura Crítica";"Aceptada";1;"Peso Chileno";895479;895479;0;0;"2024-12-09";"No Seleccionada"
9300449;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=5358-4-L124";"5358-4-L124";"Adquisición de muebles metálicos de almacenamiento para proyecto Fic Astropatrimonio Cod Bip 40047383-0,  Universidad de Tarapacá ";"El proyecto Fic Astropatrimonio, Cod Bip: 40047383-0, requiere realizar la compra de muebles  metálicos de almacenamiento de seguridad, para el resguardo de Equipos Tecnológicos , Astronomicos y otros., SC 2024080277";"Licitación Pública Menor a 100 UTM (L1)";8;"Adjudicada";204439;"UNIVERSIDAD DE TARAPACA";"Gob. Central, Universidades";"70.770.800-k";6271;"DIRECCION GENERAL DE SEDES";"La tirana";"Iquique";"Región de Tarapacá  ";0;1;"L1";1;"CLP";"Peso Chileno";1;1;0;1;"Todas las ofertas técnicas serán visibles al público en general, través del portal www.mercadopublico.cl, desde el momento de la apertura electrónica.";1;0;0;158;"2024-01-24";"2024-09-16";"2024-09-09";"2024-09-12";"2024-09-13";"2024-09-17";"2024-09-17";"2024-09-09";"2024-11-15";"2024-11-16";"1900-01-01";0;"RFB_TIME_PERIOD_DAYS";"1900-01-01";0;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";1;"";1;2300000;NA;"RFB_TIME_PERIOD_DAYS";"0";-1;"";1;0;0;"";"0";"";0;0;0;0;NA;0;2;"176";"2024-10-28";3;1;8;41656426;24102004;"EQUIPAMIENTO PARA MANEJO Y ESTIBA DE MATERIALES";"MAQUINARIA PARA MANEJO DE MATERIALES";"ESTANTES Y ALMACENAMIENTO";"ESTANTERÍAS PARA ALMACENAJE";"Estanterías para almacenaje";"Muebles metálicos de almacenamiento de alta resistencia, diseñados a medida, con bandejas interiores reforzadas y cerradura.


";"Unidad";4;1421255;824794;"76.369.344-9";"Muebles Santiago";"MUEBLES SANTIAGO SPA";"Gabinetes metálicos de alta resistencia. 2 C001 de 150 cm de largo y 2 C001 de 90 cm de largo. ";1480000;"Propuesta de provisión Muebles Santiago";"Aceptada";4;"Peso Chileno";370000;1480000;4;1480000;"2024-09-16";"Seleccionada"
9300449;"http://www.mercadopublico.cl/fichaLicitacion.html?idLicitacion=5358-4-L124";"5358-4-L124";"Adquisición de muebles metálicos de almacenamiento para proyecto Fic Astropatrimonio Cod Bip 40047383-0,  Universidad de Tarapacá ";"El proyecto Fic Astropatrimonio, Cod Bip: 40047383-0, requiere realizar la compra de muebles  metálicos de almacenamiento de seguridad, para el resguardo de Equipos Tecnológicos , Astronomicos y otros., SC 2024080277";"Licitación Pública Menor a 100 UTM (L1)";8;"Adjudicada";204439;"UNIVERSIDAD DE TARAPACA";"Gob. Central, Universidades";"70.770.800-k";6271;"DIRECCION GENERAL DE SEDES";"La tirana";"Iquique";"Región de Tarapacá  ";0;1;"L1";1;"CLP";"Peso Chileno";1;1;0;1;"Todas las ofertas técnicas serán visibles al público en general, través del portal www.mercadopublico.cl, desde el momento de la apertura electrónica.";1;0;0;158;"2024-01-24";"2024-09-16";"2024-09-09";"2024-09-12";"2024-09-13";"2024-09-17";"2024-09-17";"2024-09-09";"2024-11-15";"2024-11-16";"1900-01-01";0;"RFB_TIME_PERIOD_DAYS";"1900-01-01";0;"1900-01-01";"1900-01-01";"1900-01-01";"1900-01-01";1;"";1;2300000;NA;"RFB_TIME_PERIOD_DAYS";"0";-1;"";1;0;0;"";"0";"";0;0;0;0;NA;0;2;"176";"2024-10-28";3;1;8;41656426;24102004;"EQUIPAMIENTO PARA MANEJO Y ESTIBA DE MATERIALES";"MAQUINARIA PARA MANEJO DE MATERIALES";"ESTANTES Y ALMACENAMIENTO";"ESTANTERÍAS PARA ALMACENAJE";"Estanterías para almacenaje";"Muebles metálicos de almacenamiento de alta resistencia, diseñados a medida, con bandejas interiores reforzadas y cerradura.


";"Unidad";4;1097564;550606;"76.255.110-1";"MOVILOCKERS LTDA";"Guardarropía y Almacenaje Arraiza y Espinoza Ltda.";"2 STORAGE Alta Resistencia con medias solicitadas y según ficha adjunta
2 STORAGE Personalizado con medias solicitadas y según ficha adjunta";1480000;"Adquisición de muebles metálicos de almacenamiento para proyecto Fic Astropatrimonio Cod Bip 40047383-0 Universidad de Tarapacá";"Aceptada";4;"Peso Chileno";550810;2203240;0;0;"2024-09-12";"No Seleccionada"
