"ID";"Codigo";"Link";"Nombre";"Descripcion/Obervaciones";"Tipo";"ProcedenciaOC";"EsTratoDirecto";"EsCompraAgil";"CodigoTipo";"CodigoAbreviadoTipoOC";"DescripcionTipoOC";"codigoEstado";"Estado";"codigoEstadoProveedor";"EstadoProveedor";"FechaCreacion";"FechaEnvio";"FechaSolicitudCancelacion";"fechaUltimaModificacion";"FechaAceptacion";"FechaCancelacion";"tieneItems";"PromedioCalificacion";"CantidadEvaluacion";"MontoTotalOC";"TipoMonedaOC";"MontoTotalOC_PesosChilenos";"Impuestos";"TipoImpuesto";"Descuentos";"Cargos";"TotalNetoOC";"CodigoUnidadCompra";"RutUnidadCompra";"UnidadCompra";"CodigoOrganismoPublico";"OrganismoPublico";"sector";"ActividadComprador";"CiudadUnidadCompra";"RegionUnidadCompra";"PaisUnidadCompra";"CodigoSucursal";"RutSucursal";"Sucursal";"CodigoProveedor";"NombreProveedor";"ActividadProveedor";"ComunaProveedor";"RegionProveedor";"PaisProveedor";"Financiamiento";"PorcentajeIva";"Pais";"TipoDespacho";"FormaPago";"CodigoLicitacion";"Codigo_ConvenioMarco";"IDItem";"codigoCategoria";"Categoria";"codigoProductoONU";"NombreroductoGenerico";"RubroN1";"RubroN2";"RubroN3";"EspecificacionComprador";"EspecificacionProveedor";"cantidad";"UnidadMedida";"monedaItem";"precioNeto";"totalCargos";"totalDescuentos";"totalImpuestos";"totalLineaNeto";"Forma de Pago"
45885078;"5858-14-SE22";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=5858-14-SE22";"ORDEN DE COMPRA DESDE 5858-1-LE22";"Mejoramiento de Infraestructura Sanitaria DESDE 5858-1-LE22";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";6;"Aceptada";4;"Aceptada";"2022-05-12";"2024-09-23";"2024-09-23";"2024-09-23";"2024-09-23";NA;1;0;0;48984431,72;"CLP";48984431,72;7821043,72;"IVA";0;0;41163388;300526;"69.251.000-3";"Unidad Técnica";294421;"Ilustre Municipalidad de Camarones";"Municipalidades";"";"Camarones";"Región de Arica y Parinacota";"CL";293454;"15.084.723-0";"maclau";287333;"CLAUDIA ANDREA MAUREIRA AHUMADA";"OBRAS MENORES EN CONSTRUCCION (CONTRATISTAS, ALBAN";"Arica";"Región de Arica y Parinacota";"Chile";"";19;"CL";12;39;"5858-1-LE22";NA;122139702;72131700;"Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras";72131702;"Construcción de obras civiles";"Servicios de construcción y mantenimiento";"Construcción de edificios en general";"Construcción de obras civiles y infraestructuras";"Instalación de cinco soluciones individuales de alcantarillado, con tratamiento de aguas mediante fosa séptica y pozo absorbente";" Mejoramiento de Infraestructura Sanitaria";1;"Unidad";"CLP";41163388;0;0;0;41163388;"Otro, Ver Instrucciones"
46684778;"5858-33-SE22";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=5858-33-SE22";"ORDEN DE COMPRA DESDE 5858-2-LE22";"Construcción de casetas sanitarias Camarones DESDE 5858-2-LE22";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";6;"Aceptada";4;"Aceptada";"2022-09-22";"2024-09-23";"2024-09-23";"2024-09-23";"2024-09-23";NA;1;0;0;28959635,32;"CLP";28959635,32;4623807,32;"IVA";0;0;24335828;300526;"69.251.000-3";"Unidad Técnica";294421;"Ilustre Municipalidad de Camarones";"Municipalidades";"";"Camarones";"Región de Arica y Parinacota";"CL";293454;"15.084.723-0";"maclau";287333;"CLAUDIA ANDREA MAUREIRA AHUMADA";"OBRAS MENORES EN CONSTRUCCION (CONTRATISTAS, ALBAN";"Arica";"Región de Arica y Parinacota";"Chile";"";19;"CL";12;39;"5858-2-LE22";NA;124399739;72131700;"Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras";72131702;"Construcción de obras civiles";"Servicios de construcción y mantenimiento";"Construcción de edificios en general";"Construcción de obras civiles y infraestructuras";"Proyecto “Construcción de casetas sanitarias” que considera: (1) Construcción de dos baños a base de albañilería reforzada (bloque hormigón rústico). Área construida 7.2 m2 c/u.; (2) Instalación de red de agua potable y alcantarillado particular; (3) Inst";"Construcción de casetas sanitarias Camarones";1;"Unidad";"CLP";24335828;0;0;0;24335828;"Otro, Ver Instrucciones"
46800846;"1057472-8231-SE22";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057472-8231-SE22";"ORDEN DE COMPRA DESDE 1057472-107-LE22";"Suministro de Audifonos para Prematuros GES DESDE 1057472-107-LE22
MES DE AGOSTO 2024";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2022-10-12";"2024-09-16";"2024-09-13";"2024-09-13";"2024-09-16";NA;1;0;0;2332400;"CLP";2332400;372400;"IVA";0;0;1960000;1057472;"61.980.320-5";"Bienes y Servicios";1379869;"HOSPITAL CLINICO METROPOLITANO EL CARMEN DOCTOR LUIS VALENTIN FERRADA";"Salud";"Servicio Público";"Maipú";"Región Metropolitana de Santiago";"CL";632295;"76.136.334-4";"WS AUDIOLOGY CHILE SPA";1235540;"WS AUDIOLOGY CHILE SPA";"VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| VENT";"Providencia";"Región Metropolitana de Santiago";"Chile";"";19;"CL";7;2;"1057472-107-LE22";NA;124726039;42211700;"Equipamiento y suministros médicos / Ayuda para personas con discapacidad / Artículos de ayuda para la comunicación de discapacitados";42211705;"Audífonos para personas con discapacidad física";"Equipamiento y suministros médicos";"Ayuda para personas con discapacidad";"Artículos de ayuda para la comunicación de discapacitados";"Audífonos para Prematuros";"VALIDEZ DE LA OFERTA 120 DÍAS";2;"Unidad";"CLP";980000;0;0;0;1960000;"30 dias contra la recepcion conforme de la factura"
47403642;"1552-17-SE23";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1552-17-SE23";"EJECUCION ""REPOS. HOSPITAL COMUNITARIO DIEGO ALMAGRO""";"PROYECTO ""REPOSICION HOSPITAL COMUNITARIO DE DIEGO DE ALMAGRO"" COD BIP 30076167-0. LA FACTURA ENVIARLA AL SERVICIO DE SALUD ATACAMA CON DOMICILIO EN CHACABUCO Nº 681 5TO PISO EDIFICIO D. ELIAS - COPIAPO. EL MONTO DE LA PRESENTE OC NO CONSIDERA EL VALOR PROFORMA , EL CUAL ASCIENDE A $ 240.500.000";"SE";"licitación pública previa sin ofertas, o con ofertas inadmisibles";"Si";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2023-01-10";"2024-09-26";"2024-09-26";"2025-07-22";"2024-10-17";NA;1;0;0;3053715000,21;"CLP";3053715000,21;487567941,21;"IVA";0;0;2566147059;2548;"61.606.300-6";"Servicio de Salud Atacama";7409;"SERVICIO DE SALUD ATACAMA";"Salud";"-";"Copiapó";"Región de Atacama ";"CL";74074;"77.193.770-5";"INMOBILIARIA E INVERSIONES QUILODRAN LTDA.";71801;"INMOBILIARIA E INVERSIONES QUILODRAN LTDA.";"PREPARACION DEL TERRENO, EXCAVACIONES Y MOVIMIENTO";"La Serena";"Región de Coquimbo ";"Chile";"3190";19;"CL";7;2;"";NA;126407219;72131700;"Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras";72131702;"Construcción de obras civiles";"Servicios de construcción y mantenimiento";"Construcción de edificios en general";"Construcción de obras civiles y infraestructuras";"OBRAS CIVILES EJECUCION PROYECTO "" REPOSICION HOSPITAL 
COMUNITARIO DE DIEGO DE ALMAGRO"", EN TERRENO UBICADO EN AVDA. JUAN MARTINEZ Nº 2200 COMUNA DE DIEGO DE ALMAGRO REGION ATACAMA, CIÑENDOSE ESTRICTAMENTE A LOS ANTECEDENTES TECNICOS DELPROYECTO";"OBRAS CIVILES EJECUCION PROYECTO "" REPOSICION HOSPITAL 
COMUNITARIO DE DIEGO DE ALMAGRO"", EN TERRENO UBICADO EN AVDA. JUAN MARTINEZ Nº 2200 COMUNA DE DIEGO DE ALMAGRO REGION ATACAMA, CIÑENDOSE ESTRICTAMENTE A 
LOS ANTECEDENTES TECNICOS DEL PROYECTO";1;"Unidad no definida";"CLP";2566147059;0;0;0;2566147059;"30 dias contra la recepcion conforme de la factura"
47597198;"1263-1-SE23";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1263-1-SE23";"DESPACHO DE CORRESPONDENCIA  MES  DE ENERO 2023";"DESPACHO DE CORRESPONDENCIA  MES DE ENERO 2023";"SE";"Orden de Compra para informar";"No";"No";8;"SE";"Sin emisión automática";6;"Aceptada";4;"Aceptada";"2023-02-14";"2024-09-27";"2024-09-27";"2024-09-27";"2024-09-30";NA;1;4;92;24399;"CLP";24399;0;"Exento";2711;0;27110;2259;"61.202.000-0";"Dirección de Obras Portuarias - Iquique";7246;"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"Obras Públicas";"GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA";"Iquique";"Región de Tarapacá  ";"CL";127487;"60.503.000-9";"EMPRESA DE CORREOS DE CHILE - Gerencia Zonal Norte";16120;"EMPRESA DE CORREOS DE CHILE";"OTROS SERVICIOS DE TELECOMUNICACIONES N.C.P.";"Antofagasta";"Región de Antofagasta ";"Chile";"";0;"CL";7;2;"";NA;126967703;78101800;"Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Transporte de carga por carretera";78101802;"Servicios de transporte regional o nacional en cam";"Servicios de transporte, almacenaje y correo";"Transporte de correo y carga";"Transporte de carga por carretera";"";"";1;"Unidad no definida";"CLP";27110;0;0;0;27110;"30 dias contra la recepcion conforme de la factura"
47685790;"1667-249-AG23";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1667-249-AG23";"Orden de Compra generada por invitación a compra ágil: 1667-61-COT23";"Orden de Compra código: 1667-249-AG23 dirigida a CLINICA ANDES SALUD CONCEPCION S.A para compra de examen TIEMPO DE PROTOMBINA para convenio hasta diciembre 2023.

Para pago de servicio subir respaldos en página web www.hospitalregional.cl/cdex/index.php?section=validatedoc ingresando código de
validación de paciente(s) indicada en CDEX.

Para que las facturas puedan ingresar al sistema informático de nuestro Establecimiento se debe Ingresar a una nueva casilla asociada a la dirección de presupuesto dipresrecepcion@custodium.com, además cada factura debe indicar SÓLO N° de Orden de Compra en el campo 801 (ejemplo: 1667-XXX-SE23). Todo esto para que no exista rechazo automatizado de facturas.
 ";"AG";"Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones)";"Si";"Si";13;"AG";"Compra Ágil";12;"Recepcion Conforme";7;"Recepcion Conforme";"2023-03-02";"2024-09-16";"2023-03-27";"2023-11-21";"2024-09-26";NA;1;0;0;310114;"CLP";310114;49514;"IVA";0;0;260600;2663;"61.602.189-3";"Compra de Servicios Clínicos";7324;"HOSPITAL GUILLERMO GRANT BENAVENTE DE CO";"Salud";"Salud";"Concepción";"Región del Biobío ";"Extranjero";582336;"76.018.992-8";"Clínica Andes Salud Concepción";1152507;"CLINICA ANDES SALUD CONCEPCION S.A";"FARMACIAS INDEPENDIENTES| HOSPITALES Y CLINICAS";"Coronel";"Región del Biobío ";NA;"";19;"Extranjero";12;2;"";NA;127236009;85122200;"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales";85122201;"Exámenes médicos";"Salud, servicios sanitarios y alimentación";"Medicina y servicios de salud";"Evaluaciones de salud individuales";"40-030-171-1167-00 TIEMPO DE PROTOMBINA";"";100;"Unidad";"CLP";2606;0;0;NA;260600;"30 dias contra la recepcion conforme de la factura"
47755995;"1057539-2730-SE23";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057539-2730-SE23";"ORDEN DE COMPRA DESDE 1057539-161-LE22";"Mantenimiento y reparación de salas de informes para el servicio de radiología  DESDE 1057539-161-LE22
Según Memo 9 con fecha 27 de febrero del 2024, enviado por Patricio López, Obras y Proyectos. 

Primer Estado de Pago, visado por Gestión de Contrato.

Factura debe ser enviada al Correo dipresrecepcion@custodium.com en formato XML, posterior a su recepción conforme ";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2023-03-15";"2024-09-23";"2024-09-16";"2024-09-16";"2024-09-25";NA;1;0;0;11439470;"CLP";11439470;1826470;"IVA";0;0;9613000;1057539;"61.975.100-0";"Bienes y Servicios";127018;"HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI";"Salud";"Servicio Público";"Puerto Montt";"Región de los Lagos ";NA;1269404;"77.672.196-4";"Décima Arquitectura & Construcción";1855210;"DÉCIMA SPA";"CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL";"Puerto Montt";"Región de los Lagos ";"Chile";"26518";19;"";7;2;"1057539-161-LE22";NA;127454114;72131700;"Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras";72131702;"Construcción de obras civiles";"Servicios de construcción y mantenimiento";"Construcción de edificios en general";"Construcción de obras civiles y infraestructuras";"1472132 MANTENCION Y REPARACION DE SALA DE INFORMES DEL SERVICIO DE RADIOLOGIA HPM";"1472132 MANTENCION Y REPARACION DE SALA DE INFORMES DEL SERVICIO DE RADIOLOGIA HPM";1;"Unidad";"CLP";9613000;0;0;0;9613000;"30 dias contra la recepcion conforme de la factura"
47780843;"1263-4-SE23";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1263-4-SE23";"DESPACHO DE CORRESPONDENCIA  MES  DE FEBRERO 2023";"DESPACHO DE CORRESPONDENCIA CORRESPONDIENTE  AL MES  DE FEBRERO DE 2023";"SE";"Orden de Compra para informar";"No";"No";8;"SE";"Sin emisión automática";6;"Aceptada";4;"Aceptada";"2023-03-20";"2024-09-27";"2024-09-27";"2024-09-27";"2024-09-30";NA;1;4;92;16767;"CLP";16767;0;"Exento";1863;0;18630;2259;"61.202.000-0";"Dirección de Obras Portuarias - Iquique";7246;"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"Obras Públicas";"GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA";"Iquique";"Región de Tarapacá  ";"CL";127487;"60.503.000-9";"EMPRESA DE CORREOS DE CHILE - Gerencia Zonal Norte";16120;"EMPRESA DE CORREOS DE CHILE";"OTROS SERVICIOS DE TELECOMUNICACIONES N.C.P.";"Antofagasta";"Región de Antofagasta ";"Chile";"SECTOR";0;"CL";7;2;"";NA;127531450;78101800;"Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Transporte de carga por carretera";78101802;"Servicios de transporte regional o nacional en cam";"Servicios de transporte, almacenaje y correo";"Transporte de correo y carga";"Transporte de carga por carretera";"DESPACHO DE CORRESPONDENCIA MES DE FEBRERO 2023";"DESPACHO DE CORRESPONDENCIA MES DE FEBRERO 2023";1;"Unidad no definida";"CLP";18630;0;0;0;18630;"30 dias contra la recepcion conforme de la factura"
47894476;"1263-5-SE23";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1263-5-SE23";"DESPACHO DE CORRESPONDENCIA MES DE MARZO 2023";"DESPACHO DE CORRESPONDENCIA MES DE MARZO 2023

FACTURA 1925314";"SE";"Proveniente de convenio marco";"No";"No";8;"SE";"Sin emisión automática";6;"Aceptada";4;"Aceptada";"2023-04-06";"2024-09-27";"2023-04-06";"2024-09-27";"2024-09-30";NA;1;4;92;11097;"CLP";11097;0;"Exento";1233;0;12330;2259;"61.202.000-0";"Dirección de Obras Portuarias - Iquique";7246;"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"Obras Públicas";"GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA";"Iquique";"Región de Tarapacá  ";"CL";127487;"60.503.000-9";"EMPRESA DE CORREOS DE CHILE - Gerencia Zonal Norte";16120;"EMPRESA DE CORREOS DE CHILE";"OTROS SERVICIOS DE TELECOMUNICACIONES N.C.P.";"Antofagasta";"Región de Antofagasta ";"Chile";"SECTOR";0;"CL";7;2;"";NA;127880966;78101800;"Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Transporte de carga por carretera";78101802;"Servicios de transporte regional o nacional en cam";"Servicios de transporte, almacenaje y correo";"Transporte de correo y carga";"Transporte de carga por carretera";"DESPACHO DE CORRESPONDENCIA MES DE MARZO 2023";"DESPACHO DE CORRESPONDENCIA MES DE MARZO 2023";1;"Unidad no definida";"CLP";12330;0;0;0;12330;"30 dias contra la recepcion conforme de la factura"
48200316;"1057501-6788-AG23";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057501-6788-AG23";"PROTESIS OC generada por compra agil 1057501-5169-COT23";"PROTESIS OC generada por compra agil 1057501-5169-COT23
compra a mayo 2023  otorrino cdt  sce 353564
item 22.04.004.004";"AG";"Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones)";"Si";"Si";13;"AG";"Compra Ágil";6;"Aceptada";4;"Aceptada";"2023-05-24";"2024-09-11";"2023-05-29";"2023-05-29";"2024-10-02";NA;1;0;0;1624350;"CLP";1624350;259350;"IVA";0;0;1365000;1057501;"61.608.502-6";"COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO";7320;"COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO";"Salud";"Servicio Público";"Puente Alto";"Región Metropolitana de Santiago";"Extranjero";1178230;"77.280.131-9";"HCH MED";1766890;"HCH SPA";"OTROS SERVICIOS DE ATENCION DE LA SALUD HUMANA PRESTADOS POR EMPRESAS";"Providencia";"Región Metropolitana de Santiago";NA;"";19;"Extranjero";7;2;"";NA;128797780;85121600;"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Especialidades médicas";85121609;"Servicios quirúrgicos";"Salud, servicios sanitarios y alimentación";"Medicina y servicios de salud";"Especialidades médicas";"21-400-200-062-00 MONITORIZACION INTRAOPERATORIA";NA;3;"Unidad";"CLP";455000;0;0;NA;1365000;"30 dias contra la recepcion conforme de la factura"
